DATE,Daily_Confirmed
30-01-2020,1
31-01-2020,0
01-02-2020,0
02-02-2020,1
03-02-2020,1
04-02-2020,0
05-02-2020,0
06-02-2020,0
07-02-2020,0
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,2
03-03-2020,1
04-03-2020,22
05-03-2020,2
06-03-2020,1
07-03-2020,3
08-03-2020,5
09-03-2020,9
10-03-2020,15
11-03-2020,8
12-03-2020,10
13-03-2020,10
14-03-2020,11
15-03-2020,10
16-03-2020,14
17-03-2020,20
18-03-2020,25
19-03-2020,27
20-03-2020,58
21-03-2020,78
22-03-2020,69
23-03-2020,94
24-03-2020,74
25-03-2020,86
26-03-2020,73
27-03-2020,153
28-03-2020,136
29-03-2020,120
30-03-2020,187
31-03-2020,309
01-04-2020,424
02-04-2020,486
03-04-2020,560
04-04-2020,579
05-04-2020,609
06-04-2020,484
07-04-2020,573
08-04-2020,565
09-04-2020,813
10-04-2020,871
11-04-2020,854
12-04-2020,758
13-04-2020,1243
14-04-2020,1031
15-04-2020,886
16-04-2020,1061
17-04-2020,922
18-04-2020,1371
19-04-2020,1580
20-04-2020,1239
21-04-2020,1537
22-04-2020,1292
23-04-2020,1667
24-04-2020,1408
25-04-2020,1835
26-04-2020,1607
27-04-2020,1568
28-04-2020,1902
29-04-2020,1705
30-04-2020,1801
01-05-2020,2396
02-05-2020,2564
03-05-2020,2952
04-05-2020,3656
05-05-2020,2971
06-05-2020,3602
07-05-2020,3344
08-05-2020,3339
09-05-2020,3175
10-05-2020,4311
11-05-2020,3592
12-05-2020,3562
13-05-2020,3726
14-05-2020,3991
15-05-2020,3808
16-05-2020,4794
17-05-2020,5049
18-05-2020,4628
19-05-2020,6154
20-05-2020,5720
21-05-2020,6023
22-05-2020,6536
23-05-2020,6663
